customerID,churn_prob,true_churn,seg_new,seg_high_fee,top_reasons
1069-XAIEM,0.96523,1,新客,一般账单,tenure（降低流失风险↓2.199）；Contract_Month-to-month（降低流失风险↓0.922）；Contract_Two year（降低流失风险↓0.660）
6230-BSUXY,0.96523,1,新客,一般账单,MonthlyCharges（推高流失风险↑0.945）；tenure（推高流失风险↑0.545）；Contract_Month-to-month（推高流失风险↑0.533）
6861-XWTWQ,0.96520644,1,非新客,高账单,Contract_Month-to-month（降低流失风险↓0.708）；InternetService_Fiber optic（降低流失风险↓0.273）；Contract_One year（推高流失风险↑0.201）
5178-LMXOP,0.96451724,1,新客,高账单,Contract_Month-to-month（推高流失风险↑0.536）；PaperlessBilling_True（降低流失风险↓0.345）；tenure（降低流失风险↓0.311）
1628-BIZYP,0.9612006,0,新客,一般账单,tenure（降低流失风险↓2.064）；Contract_Month-to-month（降低流失风险↓0.861）；Contract_Two year（降低流失风险↓0.696）
2202-CUYXZ,0.9609138,1,新客,一般账单,MonthlyCharges（推高流失风险↑0.636）；Contract_Month-to-month（推高流失风险↑0.496）；InternetService_Fiber optic（推高流失风险↑0.313）
7181-BQYBV,0.9595444,1,新客,高账单,MonthlyCharges（推高流失风险↑0.802）；Contract_Month-to-month（推高流失风险↑0.490）；InternetService_Fiber optic（推高流失风险↑0.325）
0295-PPHDO,0.9594078,1,新客,高账单,InternetService_No（降低流失风险↓0.664）；Contract_Month-to-month（推高流失风险↑0.444）；InternetService_Fiber optic（降低流失风险↓0.420）
0970-ETWGE,0.9584687,1,新客,一般账单,Contract_Month-to-month（降低流失风险↓1.001）；PaymentMethod_Credit card (automatic)（降低流失风险↓0.614）；Contract_Two year（降低流失风险↓0.614）
2514-GINMM,0.9579258,1,新客,一般账单,Contract_Month-to-month（推高流失风险↑0.417）；InternetService_Fiber optic（降低流失风险↓0.377）；PaymentMethod_Electronic check（推高流失风险↑0.361）
3722-WPXTK,0.95631623,1,新客,一般账单,MonthlyCharges（推高流失风险↑0.788）；tenure（降低流失风险↓0.739）；Dependents_Yes（降低流失风险↓0.442）
9248-OJYKK,0.9561138,1,新客,一般账单,tenure（降低流失风险↓1.981）；Contract_Month-to-month（降低流失风险↓0.927）；Contract_Two year（降低流失风险↓0.622）
2609-IAICY,0.95525837,1,新客,一般账单,tenure（降低流失风险↓0.533）；InternetService_Fiber optic（降低流失风险↓0.457）；Contract_Month-to-month（推高流失风险↑0.407）
1400-MMYXY,0.9523805,1,新客,高账单,Contract_Month-to-month（推高流失风险↑0.588）；InternetService_Fiber optic（推高流失风险↑0.329）；SeniorCitizen_1（推高流失风险↑0.213）
0655-RBDUG,0.9514254,1,非新客,高账单,Contract_Month-to-month（推高流失风险↑0.424）；InternetService_Fiber optic（降低流失风险↓0.403）；PaperlessBilling_True（降低流失风险↓0.278）
8821-XNHVZ,0.94793355,1,新客,一般账单,tenure（降低流失风险↓2.335）；Contract_Month-to-month（降低流失风险↓1.083）；Contract_Two year（降低流失风险↓0.706）
5196-SGOAK,0.9458712,1,新客,一般账单,Contract_Month-to-month（降低流失风险↓1.094）；Contract_Two year（降低流失风险↓1.043）；MonthlyCharges（降低流失风险↓0.738）
9507-EXLTT,0.94425833,1,新客,一般账单,Contract_Month-to-month（推高流失风险↑0.540）；InternetService_Fiber optic（推高流失风险↑0.307）；PaymentMethod_Electronic check（推高流失风险↑0.283）
5419-CONWX,0.9420257,1,新客,高账单,MonthlyCharges（推高流失风险↑0.997）；Contract_Month-to-month（降低流失风险↓0.688）；tenure（降低流失风险↓0.362）
8375-DKEBR,0.94173,1,新客,一般账单,Contract_Month-to-month（降低流失风险↓0.821）；tenure（降低流失风险↓0.681）；InternetService_Fiber optic（降低流失风险↓0.235）
